                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5787,                 2.3023,                 1.7363,                0.74812,                0.48614,                0.52351,                0.26682,                 1.5311,                 1.4803,                 1.7612,             0.00016622,             0.00016622,             0.00016622
                      2,                 1.4074,                 1.4538,                 1.5574,                0.77923,                0.50545,                0.57614,                0.28746,                 1.5373,                 1.3065,                 1.7168,             0.00032629,             0.00032629,             0.00032629
                      3,                 1.3742,                 1.3063,                 1.5194,                0.75617,                0.55847,                0.60643,                0.30832,                 1.4935,                 1.2239,                 1.6946,             0.00047977,             0.00047977,             0.00047977
                      4,                 1.3472,                 1.2004,                 1.4929,                0.74949,                0.57322,                 0.6227,                0.32172,                 1.4732,                 1.1835,                 1.6568,              0.0004703,              0.0004703,              0.0004703
                      5,                 1.3284,                 1.1106,                 1.4737,                 0.7645,                0.53777,                0.61137,                0.31835,                 1.4765,                 1.1721,                 1.6755,              0.0004604,              0.0004604,              0.0004604
                      6,                 1.3181,                 1.0601,                 1.4542,                  0.772,                0.56179,                0.63532,                 0.3279,                  1.472,                  1.145,                 1.6553,              0.0004505,              0.0004505,              0.0004505
                      7,                 1.2834,                 1.0038,                 1.4392,                0.71824,                0.59075,                0.65159,                0.33735,                 1.4503,                 1.0904,                 1.6365,              0.0004406,              0.0004406,              0.0004406
                      8,                 1.2752,                0.99389,                 1.4238,                 0.8017,                0.57921,                0.66818,                0.34416,                 1.4395,                  1.051,                 1.6183,              0.0004307,              0.0004307,              0.0004307
                      9,                 1.2321,                0.94399,                 1.4022,                0.76923,                0.61991,                0.66435,                0.34274,                 1.4452,                 1.0442,                 1.6327,              0.0004208,              0.0004208,              0.0004208
                     10,                 1.2452,                0.92683,                 1.4067,                0.80949,                0.58793,                0.66612,                0.34929,                 1.4377,                 1.0342,                 1.6177,              0.0004109,              0.0004109,              0.0004109
                     11,                 1.2398,                0.91581,                 1.4045,                0.70973,                0.61662,                0.65961,                0.34204,                 1.4195,                 1.0063,                  1.599,               0.000401,               0.000401,               0.000401
                     12,                 1.2216,                0.89185,                 1.3917,                0.75152,                 0.5995,                0.66675,                 0.3493,                 1.3994,                 1.0185,                 1.5859,              0.0003911,              0.0003911,              0.0003911
                     13,                 1.2106,                0.87099,                 1.3719,                0.76033,                0.61633,                0.66689,                 0.3439,                 1.4228,                 1.0002,                 1.6017,              0.0003812,              0.0003812,              0.0003812
                     14,                 1.2021,                0.86269,                 1.3784,                0.76645,                0.61199,                0.66957,                 0.3571,                 1.3957,                 0.9737,                 1.5713,              0.0003713,              0.0003713,              0.0003713
                     15,                 1.1929,                0.83686,                 1.3594,                0.79955,                0.60996,                  0.676,                0.36318,                 1.3928,                0.99264,                 1.5775,              0.0003614,              0.0003614,              0.0003614
                     16,                 1.1752,                0.83418,                 1.3598,                0.73263,                0.61155,                0.66011,                0.34982,                 1.4197,                0.97584,                 1.5994,              0.0003515,              0.0003515,              0.0003515
                     17,                  1.171,                0.81376,                 1.3497,                0.75846,                0.62256,                0.68178,                0.36385,                 1.3914,                0.95302,                 1.5786,              0.0003416,              0.0003416,              0.0003416
                     18,                 1.1533,                0.80403,                 1.3506,                0.76398,                 0.6378,                0.68433,                0.36052,                 1.4138,                0.95579,                 1.5903,              0.0003317,              0.0003317,              0.0003317
                     19,                 1.1511,                0.78511,                 1.3356,                 0.7987,                0.62132,                0.69029,                 0.3697,                 1.3794,                0.93351,                 1.5626,              0.0003218,              0.0003218,              0.0003218
