                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5952,                 2.2879,                 1.7325,                 0.7849,                0.47197,                0.52845,                0.26632,                 1.5639,                 1.4918,                 1.7709,             0.00016625,             0.00016625,             0.00016625
                      2,                 1.4342,                 1.4472,                 1.5468,                0.70426,                0.50764,                0.56298,                0.28418,                 1.5209,                  1.373,                  1.706,             0.00032632,             0.00032632,             0.00032632
                      3,                 1.3934,                 1.2838,                   1.51,                0.84851,                0.49209,                0.57567,                0.29143,                 1.5113,                 1.3024,                  1.695,              0.0004798,              0.0004798,              0.0004798
                      4,                 1.3733,                  1.192,                 1.4984,                 0.7725,                0.54811,                 0.6072,                0.30878,                  1.508,                 1.1865,                 1.6918,              0.0004703,              0.0004703,              0.0004703
                      5,                 1.3442,                 1.1056,                 1.4678,                0.76093,                0.58588,                0.63103,                0.31945,                  1.481,                 1.1683,                 1.6637,              0.0004604,              0.0004604,              0.0004604
                      6,                 1.3212,                 1.0536,                 1.4466,                0.78513,                0.58571,                0.63619,                  0.333,                 1.4321,                 1.0933,                 1.6136,              0.0004505,              0.0004505,              0.0004505
                      7,                 1.3087,                 1.0094,                 1.4333,                0.74804,                0.59291,                0.62931,                0.33037,                 1.4391,                 1.1109,                 1.6207,              0.0004406,              0.0004406,              0.0004406
                      8,                 1.2942,                0.98189,                 1.4264,                0.79653,                 0.6119,                0.65371,                0.33604,                 1.4505,                 1.0795,                 1.6283,              0.0004307,              0.0004307,              0.0004307
                      9,                 1.2748,                0.94771,                 1.4109,                0.79079,                0.58887,                 0.6567,                0.33833,                 1.4535,                 1.0657,                 1.6214,              0.0004208,              0.0004208,              0.0004208
                     10,                  1.259,                0.91902,                 1.3979,                0.80414,                0.59853,                0.66959,                  0.351,                 1.4131,                0.99763,                 1.5882,              0.0004109,              0.0004109,              0.0004109
                     11,                 1.2481,                0.90261,                 1.3896,                0.76824,                 0.6113,                 0.6619,                0.33642,                 1.4472,                 1.0306,                 1.6219,               0.000401,               0.000401,               0.000401
                     12,                 1.2418,                0.89198,                 1.3845,                0.71835,                0.62572,                0.67047,                0.35288,                 1.4149,                0.98383,                 1.5952,              0.0003911,              0.0003911,              0.0003911
                     13,                   1.23,                0.87268,                 1.3768,                0.69443,                0.62009,                0.65699,                0.35013,                 1.3993,                0.97805,                 1.5724,              0.0003812,              0.0003812,              0.0003812
                     14,                 1.2157,                0.85213,                 1.3659,                 0.8053,                0.61645,                0.67796,                0.35234,                 1.4138,                0.96455,                 1.5921,              0.0003713,              0.0003713,              0.0003713
                     15,                 1.2115,                0.84123,                 1.3647,                0.72973,                0.62572,                0.67233,                 0.3572,                 1.4126,                0.97112,                 1.5853,              0.0003614,              0.0003614,              0.0003614
                     16,                 1.1996,                0.82598,                  1.355,                0.78516,                0.61057,                0.68283,                0.36059,                 1.3973,                  0.953,                 1.5673,              0.0003515,              0.0003515,              0.0003515
                     17,                 1.1916,                0.81498,                 1.3551,                0.73297,                 0.6189,                0.66489,                0.34408,                 1.4212,                0.95357,                 1.5931,              0.0003416,              0.0003416,              0.0003416
                     18,                 1.1866,                0.80149,                 1.3446,                 0.7537,                0.62588,                0.67865,                0.35429,                 1.4196,                0.94972,                  1.587,              0.0003317,              0.0003317,              0.0003317
                     19,                 1.1849,                0.79447,                 1.3461,                0.79393,                0.61566,                0.66255,                0.34676,                 1.4013,                0.93982,                 1.5811,              0.0003218,              0.0003218,              0.0003218
                     20,                 1.1781,                 0.7842,                 1.3352,                 0.7602,                 0.6493,                0.68023,                0.35951,                 1.4253,                0.93548,                 1.5842,              0.0003119,              0.0003119,              0.0003119
                     21,                 1.1648,                0.78206,                 1.3321,                0.76036,                0.63462,                0.68545,                0.36588,                  1.425,                0.91761,                 1.5962,               0.000302,               0.000302,               0.000302
                     22,                 1.1594,                 0.7766,                 1.3294,                0.77471,                 0.6339,                 0.6824,                0.36482,                 1.4143,                 0.9133,                 1.5795,              0.0002921,              0.0002921,              0.0002921
                     23,                  1.156,                0.76085,                 1.3243,                0.76986,                0.63797,                0.68294,                0.36427,                 1.3986,                0.90474,                 1.5735,              0.0002822,              0.0002822,              0.0002822
                     24,                 1.1442,                 0.7535,                 1.3175,                0.78738,                0.63822,                0.68482,                0.36919,                  1.391,                0.90485,                 1.5692,              0.0002723,              0.0002723,              0.0002723
                     25,                 1.1407,                0.75228,                 1.3161,                0.75082,                0.64212,                0.68781,                  0.366,                 1.3998,                0.88109,                 1.5833,              0.0002624,              0.0002624,              0.0002624
                     26,                 1.1402,                0.74211,                 1.3129,                0.76457,                0.62124,                0.67908,                0.36052,                 1.3976,                0.90554,                 1.5712,              0.0002525,              0.0002525,              0.0002525
                     27,                 1.1293,                0.72756,                 1.3071,                0.76399,                0.64527,                0.68887,                 0.3752,                 1.3721,                0.86919,                 1.5432,              0.0002426,              0.0002426,              0.0002426
                     28,                 1.1203,                0.72214,                 1.3009,                0.76029,                0.64276,                0.68645,                0.37296,                 1.3906,                 0.8784,                 1.5598,              0.0002327,              0.0002327,              0.0002327
                     29,                 1.1244,                0.72895,                 1.3021,                0.79737,                0.61639,                0.68294,                0.36858,                 1.3936,                0.89032,                 1.5609,              0.0002228,              0.0002228,              0.0002228
                     30,                 1.1073,                 0.7096,                 1.2983,                0.80224,                 0.6276,                0.68368,                 0.3692,                 1.3808,                0.89724,                 1.5536,              0.0002129,              0.0002129,              0.0002129
                     31,                 1.1121,                0.70448,                 1.2898,                0.78945,                0.62141,                 0.6819,                0.36556,                 1.3791,                0.87351,                 1.5596,               0.000203,               0.000203,               0.000203
                     32,                 1.1014,                0.69931,                 1.2885,                0.80215,                0.63892,                0.68112,                0.36439,                 1.3744,                0.88888,                 1.5517,              0.0001931,              0.0001931,              0.0001931
                     33,                 1.0932,                0.69725,                 1.2827,                0.81048,                0.63356,                0.69762,                0.37727,                 1.3775,                 0.8601,                 1.5528,              0.0001832,              0.0001832,              0.0001832
                     34,                  1.089,                0.68832,                 1.2764,                0.76844,                0.65386,                0.69197,                  0.376,                  1.393,                0.86852,                 1.5724,              0.0001733,              0.0001733,              0.0001733
                     35,                 1.0761,                0.67629,                 1.2746,                0.82477,                0.63951,                0.68973,                0.37776,                 1.3754,                0.87186,                 1.5503,              0.0001634,              0.0001634,              0.0001634
                     36,                 1.0817,                0.67456,                 1.2732,                0.79047,                0.64056,                0.67899,                0.36962,                 1.3683,                0.86764,                 1.5514,              0.0001535,              0.0001535,              0.0001535
                     37,                 1.0783,                 0.6762,                 1.2754,                0.79788,                0.65229,                0.69472,                0.37632,                 1.3493,                0.85745,                 1.5438,              0.0001436,              0.0001436,              0.0001436
